Calibration,118,
8/27/2019,2:32:00 AM,0.008474576
8/27/2019,2:36:35 AM,0.008474576
8/27/2019,2:45:00 AM,0.008474576
8/27/2019,2:49:55 AM,0.008474576
8/27/2019,2:59:00 AM,0.008474576
8/27/2019,3:04:35 AM,0.008474576
8/27/2019,3:15:15 AM,0.008474576
8/27/2019,3:22:00 AM,0.008474576
8/27/2019,3:35:45 AM,0.008474576
8/27/2019,3:44:45 AM,0.008474576
8/27/2019,4:02:20 AM,0.008474576
8/27/2019,4:12:50 AM,0.008474576
8/27/2019,4:29:00 AM,0.008474576
8/27/2019,4:38:10 AM,0.008474576
8/27/2019,4:55:50 AM,0.008474576
8/27/2019,5:06:25 AM,0.008474576
8/27/2019,5:25:40 AM,0.008474576
8/27/2019,5:35:50 AM,0.008474576
8/27/2019,5:54:50 AM,0.008474576
8/27/2019,6:04:35 AM,0.008474576
8/27/2019,6:18:35 AM,0.008474576
8/27/2019,6:25:55 AM,0.008474576
8/27/2019,6:37:10 AM,0.008474576
8/27/2019,6:43:50 AM,0.008474576
8/27/2019,6:55:25 AM,0.008474576
8/27/2019,7:02:05 AM,0.008474576
8/27/2019,7:14:45 AM,0.008474576
8/27/2019,7:22:05 AM,0.008474576
8/27/2019,7:33:45 AM,0.008474576
8/27/2019,7:39:40 AM,0.008474576
8/27/2019,7:48:45 AM,0.008474576
8/27/2019,7:53:35 AM,0.008474576
8/27/2019,8:02:00 AM,0.008474576
8/27/2019,8:07:20 AM,0.008474576
8/27/2019,8:17:25 AM,0.008474576
8/27/2019,8:24:30 AM,0.008474576
8/28/2019,2:41:45 PM,0.008474576
8/31/2019,4:38:55 AM,0.008474576
8/31/2019,4:44:40 AM,0.008474576
8/31/2019,4:47:30 AM,0.008474576
8/31/2019,4:52:20 AM,0.008474576
8/31/2019,4:55:10 AM,0.008474576
8/31/2019,5:00:10 AM,0.008474576
8/31/2019,5:03:10 AM,0.008474576
8/31/2019,5:08:30 AM,0.008474576
8/31/2019,5:11:45 AM,0.008474576
8/31/2019,5:17:35 AM,0.008474576
8/31/2019,5:21:00 AM,0.008474576
8/31/2019,5:27:10 AM,0.008474576
8/31/2019,5:30:55 AM,0.008474576
8/31/2019,5:38:15 AM,0.008474576
8/31/2019,5:43:35 AM,0.008474576
8/31/2019,5:55:20 AM,0.008474576
8/31/2019,6:03:35 AM,0.008474576
8/31/2019,6:19:55 AM,0.008474576
8/31/2019,6:29:35 AM,0.008474576
8/31/2019,6:45:45 AM,0.008474576
8/31/2019,6:56:00 AM,0.008474576
8/31/2019,7:14:15 AM,0.008474576
8/31/2019,7:26:10 AM,0.008474576
8/31/2019,7:56:25 AM,0.008474576
8/31/2019,8:21:20 AM,0.008474576
9/4/2019,11:25:15 PM,0.008474576
9/4/2019,11:30:25 PM,0.008474576
9/4/2019,11:33:35 PM,0.008474576
9/4/2019,11:39:25 PM,0.008474576
9/4/2019,11:42:45 PM,0.008474576
9/4/2019,11:48:30 PM,0.008474576
9/4/2019,11:51:45 PM,0.008474576
9/4/2019,11:57:25 PM,0.008474576
9/5/2019,12:00:35 AM,0.008474576
9/5/2019,12:05:45 AM,0.008474576
9/5/2019,12:08:40 AM,0.008474576
9/5/2019,12:13:35 AM,0.008474576
9/5/2019,12:16:20 AM,0.008474576
9/5/2019,12:21:25 AM,0.008474576
9/5/2019,12:24:35 AM,0.008474576
9/5/2019,12:31:05 AM,0.008474576
9/5/2019,12:36:40 AM,0.008474576
9/5/2019,12:52:00 AM,0.008474576
9/5/2019,1:05:55 AM,0.008474576
9/5/2019,2:08:20 AM,0.008474576
9/5/2019,2:50:00 AM,0.008474576
9/5/2019,3:01:30 AM,0.008474576
9/5/2019,3:06:40 AM,0.008474576
9/5/2019,3:16:00 AM,0.008474576
9/5/2019,3:21:40 AM,0.008474576
9/5/2019,3:31:35 AM,0.008474576
9/5/2019,3:37:00 AM,0.008474576
9/5/2019,3:46:20 AM,0.008474576
9/5/2019,3:52:15 AM,0.008474576
9/5/2019,4:04:05 AM,0.008474576
9/5/2019,4:12:45 AM,0.008474576
9/5/2019,4:30:50 AM,0.008474576
9/5/2019,4:41:20 AM,0.008474576
9/5/2019,4:57:50 AM,0.008474576
9/5/2019,5:04:10 AM,0.008474576
9/5/2019,5:14:40 AM,0.008474576
9/5/2019,5:20:00 AM,0.008474576
9/5/2019,5:27:50 AM,0.008474576
9/5/2019,5:31:40 AM,0.008474576
9/5/2019,5:37:45 AM,0.008474576
9/5/2019,5:41:15 AM,0.008474576
9/5/2019,5:47:00 AM,0.008474576
9/5/2019,5:50:25 AM,0.008474576
9/5/2019,5:56:30 AM,0.008474576
9/5/2019,6:00:10 AM,0.008474576
9/5/2019,6:07:15 AM,0.008474576
9/5/2019,6:11:55 AM,0.008474576
9/5/2019,6:19:25 AM,0.008474576
9/5/2019,6:23:25 AM,0.008474576
9/5/2019,6:30:00 AM,0.008474576
9/5/2019,6:33:30 AM,0.008474576
9/5/2019,6:39:20 AM,0.008474576
9/5/2019,6:42:35 AM,0.008474576
9/5/2019,6:48:35 AM,0.008474576
9/5/2019,6:52:10 AM,0.008474576
9/5/2019,6:58:20 AM,0.008474576
9/5/2019,7:01:50 AM,0.008474576
9/5/2019,7:07:35 AM,0.008474576
9/5/2019,7:11:00 AM,0.008474576
9/5/2019,7:16:45 AM,0.008474576
9/5/2019,7:20:25 AM,0.008474576
9/5/2019,7:27:50 AM,0.008474576
9/5/2019,7:33:00 AM,0.008474576
9/5/2019,7:47:30 AM,0.008474576
9/5/2019,8:00:35 AM,0.008474576
9/5/2019,9:03:10 AM,0.008474576
